fips,date,model_abbr,forecast_date,weekly_new_cases_0.01,weekly_new_cases_0.025,weekly_new_cases_0.05,weekly_new_cases_0.1,weekly_new_cases_0.15,weekly_new_cases_0.2,weekly_new_cases_0.25,weekly_new_cases_0.3,weekly_new_cases_0.35,weekly_new_cases_0.4,weekly_new_cases_0.45,weekly_new_cases_0.5,weekly_new_cases_0.55,weekly_new_cases_0.6,weekly_new_cases_0.65,weekly_new_cases_0.7,weekly_new_cases_0.75,weekly_new_cases_0.8,weekly_new_cases_0.85,weekly_new_cases_0.9,weekly_new_cases_0.95,weekly_new_cases_0.975,weekly_new_cases_0.99,weekly_new_deaths_0.01,weekly_new_deaths_0.025,weekly_new_deaths_0.05,weekly_new_deaths_0.1,weekly_new_deaths_0.15,weekly_new_deaths_0.2,weekly_new_deaths_0.25,weekly_new_deaths_0.3,weekly_new_deaths_0.35,weekly_new_deaths_0.4,weekly_new_deaths_0.45,weekly_new_deaths_0.5,weekly_new_deaths_0.55,weekly_new_deaths_0.6,weekly_new_deaths_0.65,weekly_new_deaths_0.7,weekly_new_deaths_0.75,weekly_new_deaths_0.8,weekly_new_deaths_0.85,weekly_new_deaths_0.9,weekly_new_deaths_0.95,weekly_new_deaths_0.975,weekly_new_deaths_0.99
01,2020-11-09,COVIDhub-ensemble,2020-11-02,,7033,,8262,,,9261,,,,,10323,,,,,11161,,,12107,,13182,,45,50,56,63,69,75,82,88,90,95,98,103,107,112,117,118,120,126,128,130,145,150,156
01,2020-11-16,COVIDhub-ensemble,2020-11-02,,6797,,8058,,,9280,,,,,10730,,,,,11470,,,12792,,14905,,41,50,56,65,73,79,86,91,95,99,104,107,111,119,128,134,135,137,140,146,166,167,173
01,2020-11-23,COVIDhub-ensemble,2020-11-02,,6791,,8013,,,9274,,,,,11116,,,,,12061,,,13669,,17216,,44,55,65,69,79,83,90,96,103,107,113,119,129,138,142,146,149,152,155,158,164,168,179
01,2020-11-30,COVIDhub-ensemble,2020-11-02,,6387,,7878,,,9126,,,,,11310,,,,,12268,,,14394,,17382,,36,46,61,71,83,92,98,105,112,120,126,131,140,144,145,148,149,151,154,162,169,184,191
01001,2020-11-09,COVIDhub-ensemble,2020-11-02,,49,,72,,,80,,,,,105,,,,,128,,,144,,178,,,,,,,,,,,,,,,,,,,,,,,,
01001,2020-11-16,COVIDhub-ensemble,2020-11-02,,44,,62,,,79,,,,,110,,,,,139,,,164,,196,,,,,,,,,,,,,,,,,,,,,,,,
01001,2020-11-23,COVIDhub-ensemble,2020-11-02,,25,,56,,,76,,,,,113,,,,,145,,,177,,212,,,,,,,,,,,,,,,,,,,,,,,,
01001,2020-11-30,COVIDhub-ensemble,2020-11-02,,30,,52,,,69,,,,,114,,,,,151,,,198,,233,,,,,,,,,,,,,,,,,,,,,,,,
01003,2020-11-09,COVIDhub-ensemble,2020-11-02,,102,,166,,,195,,,,,303,,,,,384,,,459,,663,,,,,,,,,,,,,,,,,,,,,,,,
01003,2020-11-16,COVIDhub-ensemble,2020-11-02,,82,,124,,,190,,,,,296,,,,,438,,,507,,701,,,,,,,,,,,,,,,,,,,,,,,,
01003,2020-11-23,COVIDhub-ensemble,2020-11-02,,59,,106,,,173,,,,,308,,,,,463,,,556,,728,,,,,,,,,,,,,,,,,,,,,,,,
01003,2020-11-30,COVIDhub-ensemble,2020-11-02,,47,,89,,,167,,,,,325,,,,,493,,,596,,782,,,,,,,,,,,,,,,,,,,,,,,,
01005,2020-11-09,COVIDhub-ensemble,2020-11-02,,1,,8,,,18,,,,,29,,,,,47,,,59,,87,,,,,,,,,,,,,,,,,,,,,,,,
01005,2020-11-16,COVIDhub-ensemble,2020-11-02,,1,,8,,,20,,,,,31,,,,,48,,,62,,87,,,,,,,,,,,,,,,,,,,,,,,,
01005,2020-11-23,COVIDhub-ensemble,2020-11-02,,1,,8,,,19,,,,,33,,,,,50,,,72,,93,,,,,,,,,,,,,,,,,,,,,,,,
01005,2020-11-30,COVIDhub-ensemble,2020-11-02,,1,,5,,,19,,,,,32,,,,,53,,,75,,106,,,,,,,,,,,,,,,,,,,,,,,,
01007,2020-11-09,COVIDhub-ensemble,2020-11-02,,17,,26,,,35,,,,,45,,,,,58,,,64,,70,,,,,,,,,,,,,,,,,,,,,,,,
01007,2020-11-16,COVIDhub-ensemble,2020-11-02,,12,,21,,,31,,,,,45,,,,,63,,,68,,82,,,,,,,,,,,,,,,,,,,,,,,,
01007,2020-11-23,COVIDhub-ensemble,2020-11-02,,7,,17,,,32,,,,,45,,,,,65,,,73,,83,,,,,,,,,,,,,,,,,,,,,,,,
01007,2020-11-30,COVIDhub-ensemble,2020-11-02,,1,,15,,,28,,,,,46,,,,,66,,,79,,90,,,,,,,,,,,,,,,,,,,,,,,,
01009,2020-11-09,COVIDhub-ensemble,2020-11-02,,96,,112,,,122,,,,,149,,,,,159,,,175,,241,,,,,,,,,,,,,,,,,,,,,,,,
01009,2020-11-16,COVIDhub-ensemble,2020-11-02,,83,,96,,,112,,,,,148,,,,,169,,,193,,294,,,,,,,,,,,,,,,,,,,,,,,,
01009,2020-11-23,COVIDhub-ensemble,2020-11-02,,60,,85,,,112,,,,,148,,,,,173,,,212,,321,,,,,,,,,,,,,,,,,,,,,,,,
01009,2020-11-30,COVIDhub-ensemble,2020-11-02,,51,,76,,,109,,,,,145,,,,,177,,,238,,333,,,,,,,,,,,,,,,,,,,,,,,,
01011,2020-11-09,COVIDhub-ensemble,2020-11-02,,1,,2,,,2,,,,,5,,,,,10,,,15,,26,,,,,,,,,,,,,,,,,,,,,,,,
01011,2020-11-16,COVIDhub-ensemble,2020-11-02,,0,,0,,,0,,,,,5,,,,,12,,,16,,25,,,,,,,,,,,,,,,,,,,,,,,,
01011,2020-11-23,COVIDhub-ensemble,2020-11-02,,0,,0,,,0,,,,,5,,,,,14,,,18,,29,,,,,,,,,,,,,,,,,,,,,,,,
01011,2020-11-30,COVIDhub-ensemble,2020-11-02,,0,,0,,,0,,,,,5,,,,,13,,,19,,22,,,,,,,,,,,,,,,,,,,,,,,,
01013,2020-11-09,COVIDhub-ensemble,2020-11-02,,1,,1,,,5,,,,,15,,,,,21,,,28,,44,,,,,,,,,,,,,,,,,,,,,,,,
01013,2020-11-16,COVIDhub-ensemble,2020-11-02,,0,,0,,,2,,,,,14,,,,,23,,,31,,47,,,,,,,,,,,,,,,,,,,,,,,,
01013,2020-11-23,COVIDhub-ensemble,2020-11-02,,0,,0,,,2,,,,,14,,,,,23,,,30,,47,,,,,,,,,,,,,,,,,,,,,,,,
01013,2020-11-30,COVIDhub-ensemble,2020-11-02,,0,,0,,,3,,,,,14,,,,,21,,,30,,42,,,,,,,,,,,,,,,,,,,,,,,,
01015,2020-11-09,COVIDhub-ensemble,2020-11-02,,102,,192,,,223,,,,,280,,,,,343,,,388,,524,,,,,,,,,,,,,,,,,,,,,,,,
01015,2020-11-16,COVIDhub-ensemble,2020-11-02,,78,,135,,,219,,,,,275,,,,,389,,,487,,618,,,,,,,,,,,,,,,,,,,,,,,,
01015,2020-11-23,COVIDhub-ensemble,2020-11-02,,65,,106,,,202,,,,,280,,,,,419,,,539,,672,,,,,,,,,,,,,,,,,,,,,,,,
01015,2020-11-30,COVIDhub-ensemble,2020-11-02,,51,,90,,,183,,,,,287,,,,,449,,,568,,693,,,,,,,,,,,,,,,,,,,,,,,,
01017,2020-11-09,COVIDhub-ensemble,2020-11-02,,4,,11,,,22,,,,,40,,,,,63,,,82,,132,,,,,,,,,,,,,,,,,,,,,,,,
01017,2020-11-16,COVIDhub-ensemble,2020-11-02,,2,,8,,,20,,,,,39,,,,,65,,,95,,129,,,,,,,,,,,,,,,,,,,,,,,,
01017,2020-11-23,COVIDhub-ensemble,2020-11-02,,2,,7,,,20,,,,,42,,,,,73,,,109,,146,,,,,,,,,,,,,,,,,,,,,,,,
01017,2020-11-30,COVIDhub-ensemble,2020-11-02,,1,,6,,,12,,,,,40,,,,,80,,,129,,167,,,,,,,,,,,,,,,,,,,,,,,,
01019,2020-11-09,COVIDhub-ensemble,2020-11-02,,4,,16,,,26,,,,,43,,,,,55,,,70,,98,,,,,,,,,,,,,,,,,,,,,,,,
01019,2020-11-16,COVIDhub-ensemble,2020-11-02,,7,,17,,,28,,,,,44,,,,,62,,,71,,90,,,,,,,,,,,,,,,,,,,,,,,,
01019,2020-11-23,COVIDhub-ensemble,2020-11-02,,0,,10,,,28,,,,,48,,,,,67,,,90,,123,,,,,,,,,,,,,,,,,,,,,,,,
01019,2020-11-30,COVIDhub-ensemble,2020-11-02,,0,,10,,,29,,,,,50,,,,,71,,,100,,132,,,,,,,,,,,,,,,,,,,,,,,,
01021,2020-11-09,COVIDhub-ensemble,2020-11-02,,26,,43,,,56,,,,,71,,,,,89,,,109,,128,,,,,,,,,,,,,,,,,,,,,,,,
01021,2020-11-16,COVIDhub-ensemble,2020-11-02,,15,,28,,,48,,,,,72,,,,,94,,,117,,139,,,,,,,,,,,,,,,,,,,,,,,,
